empty_arena,constant_1,avg_td_dif,avg_sub_att_dif,sig_str_dif,age_dif,reach_dif,height_dif,sub_dif,ko_dif,total_title_bout_dif,total_round_dif,loss_dif,win_dif,longest_win_streak_dif,win_streak_dif,lose_streak_dif,td_landed_dif,rev_bout,pass_bout,sub_attempts_bout,td_pct_bout,td_attempted_bout,td_landed_bout,tot_str_attempted_bout,tot_str_landed_bout,sig_str_pct_bout,sig_str_attempted_bout,sig_str_landed_bout,kd_bout,age,weight_lbs,reach_cms,height_cms,stance,wins,win_by_tko_doctor_stoppage,win_by_submission,win_by_ko/tko,win_by_decision_unanimous,win_by_decision_split,win_by_decision_majority,total_title_bouts,total_rounds_fought,losses,longest_win_streak,avg_td_pct,avg_td_landed,avg_sub_att,avg_sig_str_pct,avg_sig_str_landed,draw,current_win_streak,current_lose_streak,ev,odds,fighter,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,winner,title_bout,weight_class,gender,no_of_rounds,win_dum,tter_rank,win_prob,status
1.0,1.0,-0.0,-0.0,-0.0,-15.0,160.02,2.54,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,2.0,1.0,0.18,11.0,2.0,67.0,43.0,0.56,55.0,31.0,0.0,20.0,115.0,160.02,160.02,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285714,-175.0,Kay Hansen,SUB,Armbar,3.0,2:26,746.0,Red,False,Women's Strawweight,FEMALE,3.0,1,,63.63636363636363,favorite
1.0,1.0,-0.14,0.8,-0.29,10.0,-5.08,-15.24,7.0,3.0,-0.0,64.0,12.0,16.0,5.0,-2.0,1.0,-0.14000000000000012,0.0,1.0,1.0,0.0,0.0,0.0,10.0,9.0,0.66,3.0,2.0,0.0,36.0,155.0,180.34,172.72,Southpaw,20.0,0.0,9.0,3.0,6.0,2.0,0.0,0.0,76.0,13.0,7.0,0.41,1.69,1.9,0.4,2.83,0.0,0.0,1.0,200.0,200.0,Jim Miller,SUB,Armbar,1.0,2:25,145.0,Red,False,Catch Weight,MALE,3.0,1,,33.33333333333333,underdog
1.0,1.0,-0.43,-1.9,0.34,-0.0,-5.08,2.54,-0.0,-1.0,-0.0,-0.0,-0.0,-2.0,-2.0,-0.0,-0.0,-0.43,0.0,0.0,0.0,1.0,1.0,1.0,137.0,74.0,0.54,137.0,74.0,1.0,30.0,185.0,187.96,185.42,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.16,0.33,0.0,0.43,3.53,0.0,0.0,3.0,100.0,100.0,Marc-Andre Barriault,KO/TKO,Punches,2.0,4:50,590.0,Red,False,Middleweight,MALE,3.0,1,,50.0,underdog
1.0,1.0,-3.1,-0.6,2.54,8.0,10.16,5.08,-1.0,-0.0,-0.0,18.0,4.0,1.0,-0.0,1.0,-1.0,-3.1,0.0,0.0,0.0,0.0,0.0,0.0,153.0,113.0,0.4,55.0,22.0,0.0,33.0,125.0,170.18,170.18,Orthodox,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,27.0,6.0,2.0,0.3,0.34,0.7,0.38,4.72,0.0,1.0,0.0,100.0,100.0,Cortney Casey,SUB,Rear Naked Choke,3.0,4:36,876.0,Blue,False,Women's Flyweight,FEMALE,3.0,0,,50.0,underdog
1.0,1.0,1.18,-0.0,6.68,-1.0,15.24,7.62,-0.0,1.0,-0.0,14.0,-4.0,2.0,1.0,-0.0,-1.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.26,15.0,4.0,0.0,31.0,170.0,185.42,177.8,Orthodox,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,4.0,1.0,0.45,1.18,0.0,0.46,6.68,0.0,0.0,1.0,29.41176471,-340.0,Frank Camacho,KO/TKO,Punches,1.0,0:41,41.0,Blue,False,Lightweight,MALE,3.0,0,,77.27272727272727,favorite
1.0,1.0,-0.36,0.2,-0.89,3.0,-0.0,2.54,1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3599999999999999,0.0,1.0,0.0,0.0,0.0,0.0,16.0,4.0,0.25,16.0,4.0,0.0,29.0,185.0,187.96,185.42,Southpaw,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,2.0,0.57,1.07,0.8,0.52,3.16,0.0,2.0,0.0,210.0,210.0,Karl Roberson,SUB,Rear Naked Choke,1.0,4:17,257.0,Blue,False,Middleweight,MALE,3.0,0,,32.25806451612903,underdog
1.0,1.0,-0.31,-0.3,-2.11,-4.0,15.24,12.7,-0.0,-0.0,-0.0,-0.0,-3.0,-2.0,-2.0,-0.0,-2.0,-0.31,0.0,1.0,1.0,0.0,0.0,0.0,59.0,36.0,0.55,52.0,29.0,1.0,23.0,125.0,172.72,167.64,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,2.6,0.0,0.0,0.0,29.85074627,-335.0,Mariya Agapova,SUB,Rear Naked Choke,1.0,2:42,162.0,Red,False,Women's Flyweight,FEMALE,3.0,1,,77.01149425287356,favorite
1.0,1.0,-3.18,-0.0,0.55,1.0,-0.0,2.54,-0.0,-0.0,-0.0,-1.0,-3.0,-0.0,-0.0,1.0,-2.0,-3.18,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,0.55,20.0,11.0,0.0,32.0,135.0,172.72,170.18,Orthodox,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,3.27,0.0,1.0,0.0,17.39130435,-575.0,Julia Avila,KO/TKO,Punches,1.0,0:22,22.0,Red,False,Women's Bantamweight,FEMALE,3.0,1,,85.18518518518519,favorite
1.0,1.0,-0.0,-0.0,3.0,9.0,7.62,5.08,-0.0,-0.0,-0.0,-0.0,2.0,-0.0,-0.0,-0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.66,3.0,2.0,1.0,36.0,125.0,172.72,170.18,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.27,3.0,0.0,0.0,2.0,74.07407407,-135.0,Tyson Nam,KO/TKO,Punch,1.0,0:32,32.0,Red,False,Bantamweight,MALE,3.0,1,,57.446808510638306,favorite
1.0,1.0,-0.0,-0.0,-0.0,2.0,5.08,12.7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.36,11.0,4.0,0.0,30.0,185.0,187.96,187.96,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.05405405,-185.0,Anthony Ivy,KO/TKO,Punches,1.0,0:59,59.0,Blue,False,Welterweight,MALE,3.0,0,,64.91228070175438,favorite
1.0,1.0,1.84,-0.3,-2.7,-2.0,-0.0,5.08,1.0,-0.0,-0.0,9.0,1.0,2.0,1.0,-0.0,-0.0,1.84,0.0,3.0,3.0,0.33,3.0,1.0,76.0,54.0,0.65,61.0,40.0,0.0,26.0,155.0,185.42,187.96,Orthodox,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,2.0,0.63,1.84,0.5,0.46,2.87,0.0,1.0,0.0,27.77777778,-360.0,Roosevelt Roberts,SUB,Rear Naked Choke,2.0,3:26,506.0,Red,False,Lightweight,MALE,3.0,1,,78.26086956521739,favorite
